79, 107, 21, 
109, -27, -102, 
71, 37, 113, 
100, -82, -112, 
-86, -57, -78, 
103, -65, -28, 
37, 87, 14, 
19, -30, -25, 
-15, -3, -56, 
-50, -58, 63, 
60, -51, -90, 
102, -14, -97, 
-99, -91, 10, 
-11, -41, 111, 
2, -120, -65, 
-101, -118, -26, 
79, 77, 52, 
-87, 98, 54, 
-32, 90, -83, 
70, -58, 104, 
46, 87, -66, 
113, 4, -36, 
-116, 25, -6, 
18, -33, 41, 
70, -87, -33, 
14, 48, 28, 
-16, -72, -7, 
-3, 86, 83, 
-58, -53, -111, 
-89, 79, -12, 
-42, -91, -19, 
-32, 51, 117, 
-113, 66, -24, 
9, -49, 3, 
-87, -113, 15, 
75, -117, -62, 
104, -41, 1, 
38, -97, -25, 
18, -75, -78, 
71, 53, -88, 
68, -51, -78, 
-111, 9, 106, 
-39, 57, 64, 
21, 83, 111, 
-24, -31, -118, 
37, 11, 86, 
89, -77, -12, 
-102, 117, -69, 
-58, -110, -35, 
-21, 92, 1, 
-87, 75, -25, 
74, 29, -69, 
-31, 58, 98, 
-103, 36, 9, 
41, 109, 95, 
-41, -28, 6, 
56, -62, 94, 
80, -3, 106, 
-13, -115, -31, 
59, -23, -101, 
101, -15, -50, 
-19, -92, 82, 
20, -19, -91, 
65, 91, -21, 
56, -114, 78, 
27, 62, -40, 
53, -64, 109, 
24, 102, -84, 
-81, 64, 80, 
35, 119, -89, 
48, 120, 118, 
-10, -33, 41, 
62, 8, -118, 
114, -92, 100, 
-3, -113, 91, 
-13, 62, 102, 
65, 109, -23, 
113, 120, -15, 
-15, -10, 38, 
-37, 62, -100, 
109, -119, -81, 
101, -68, -29, 
-95, -27, 78, 
8, 73, 43, 
46, -119, 63, 
-99, -76, -66, 
-23, 84, 106, 
51, 74, 54, 
117, -99, 48, 
111, -55, -88, 
74, -90, -36, 
-103, -116, -61, 
-62, 68, 21, 
4, -49, 108, 
110, -22, 111, 
62, -82, 93, 
109, -97, 81, 
43, -52, 35, 
12, -114, -108, 
91, 36, -89, 
53, -8, -46, 
-13, 7, -48, 
69, 80, 44, 
49, 80, -69, 
66, 90, 13, 
33, 46, 17, 
-13, -117, 55, 
58, 66, 46, 
-46, 54, -104, 
-12, -98, 24, 
59, -11, -109, 
45, 1, -31, 
6, 111, 42, 
89, -24, -75, 
-14, -41, 105, 
-47, 63, -35, 
115, -49, 4, 
39, -53, -3, 
-20, -72, 81, 
-14, 45, 85, 
68, 120, 22, 
-31, -97, -13, 
102, -35, 7, 
112, -118, 20, 
-93, -107, 29, 
74, 37, -86, 
12, 10, -26, 
87, 18, -69, 
-86, 112, 106, 
5, -105, -71, 
84, -107, -8, 
-81, -119, -24, 
-56, 19, 98, 
103, -101, -49, 
107, -76, 90, 
-43, -2, -92, 
48, 44, 106, 
67, -91, -93, 
112, -59, -46, 
-65, 119, 69, 
-59, 61, -96, 
11, -42, 10, 
-13, -80, 62, 
-14, 40, -102, 
-113, -66, 67, 
97, -9, 24, 
7, -43, -106, 
83, 18, 27, 
-16, 120, -20, 
66, -41, 84, 
2, 113, -112, 
31, 27, 85, 
32, -53, 101, 
-76, 64, 77, 
103, -42, 116, 
-52, 103, 32, 
-27, 97, 21, 
94, -23, -120, 
92, 43, 95, 
-30, -64, -40, 
-68, -91, -106, 
-19, 8, 36, 
103, 23, 54, 
-117, -108, 85, 
117, 47, -42, 
3, -108, 120, 
-79, 10, 30, 
82, 46, 74, 
-68, 13, -89, 
-74, 23, 82, 
64, 23, -6, 
-18, -104, -50, 
-3, -10, 76, 
17, 30, 115, 
-16, -78, -115, 
60, -50, 9, 
-40, 41, -14, 
-106, -109, -108, 
-17, 108, 41, 
-57, -17, -8, 
11, -22, -26, 
111, -67, 82, 
69, -75, -20, 
-85, 56, -93, 
80, -26, 43, 
23, -12, 114, 
70, 60, -41, 
-18, 59, 94, 
-107, -96, 14, 
12, -25, -119, 
15, -56, 10, 
-118, -41, 34, 
26, -40, 6, 
-63, -105, -53, 
9, -91, 106, 
-72, -36, 114, 
98, -111, 71, 
37, -35, 110, 
33, -63, 84, 
13, -90, -39, 
84, 88, 95, 
-120, -46, -66, 
-98, -93, 99, 
-61, 37, 65, 
-67, -76, -108, 
58, -75, -79, 
58, -16, 28, 
8, 34, 67, 
76, -42, 32, 
74, -73, 84, 
-20, 81, 11, 
-89, 29, -20, 
-105, -103, -117, 
-76, -73, 93, 
78, -98, -3, 
75, 18, 84, 
92, -74, -100, 
55, -118, -74, 
47, -26, 8, 
40, 77, -50, 
20, -95, -118, 
-45, 21, 52, 
-41, 60, 82, 
4, 119, -70, 
49, 61, 106, 
-23, 35, -101, 
-36, 89, -107, 
89, -23, -28, 
22, -74, -83, 
-42, -113, 27, 
-33, -1, 39, 
-45, 88, 114, 
106, -53, 5, 
-72, 108, -117, 
117, 12, 64, 
-37, 96, 50, 
-67, 45, -56, 
-89, 39, 9, 
-77, 114, -73, 
-53, -116, -81, 
40, -49, 9, 
11, -77, 79, 
-94, 58, 4, 
12, -19, -100, 
38, 79, -21, 
120, 15, -47, 
45, 14, -55, 
-111, 27, 96, 
-30, 64, 109, 
-118, 46, -23, 
